State,Town,Municipality,Town,Place,Count,Notes,Latitude,Longitude
OAX,Santos Reyes Zochiquilazola,Santiago Juxtlahuaca,Santos Reyes Zochiquilazola,"Santos Reyes Zochiquilazola, Santiago Juxtlhuaca, Oaxaca",1,,17.268918,-98.183359
OAX,Union de Cardenas,Santiago Juxtlahuaca,Union de Cardenas,"Union de Cardenas, Santiago Juxtlahuaca, Oaxaca",12,,-98.0106756,17.3338551
OAX,,Santiago Pinotepa Nacional,,"Santiago Pinotepa Nacional, Oaxaca",1,,-98.053687,16.3411824
OAX,Yolotepec de la Paz,Santiago Yosondua,Yolotepec de la Paz,"Yolotepec de la Paz, Santiago Yosondua, Oaxaca",2,,-97.566667,16.883333
OAX,,Santiago del Rio,,"Santiago del Rio, Oaxaca",3,,-98.0909499,17.4537264
OAX,San Francisco Higos,Santiago del Rio,San Francisco Higos,"San Francisco Higos, Santiago del Rio, Oaxaca",12,,-98.0909499,17.4537264
OAX,San Sebastian del Monte,Santo Domingo Tonala,San Sebastian del Monte,"San Sebastian del Monte, Santo Domingo Tonala, Oaxaca",21,,-97.9650566,17.6732539
OAX,,Santos Reyes Tepejillo,,"Santos Reyes Tepejillo, Oaxaca",1,,-97.9386769,17.4377727
OAX,,Silacayoapam,,"Silacayoapam, Oaxaca",1,,-98.1405049,17.5047564
OAX,Los Reyes Michapa,Silacayoapam,Los Reyes Michapa,"Los Reyes Michapa, Silacayoapam, Oaxaca",2,,-98.1405049,17.5047564
OAX,San Andres Montaña,Silacayoapam,San Andres Montaña,"San Andres Montaña, Silacayoapam, Oaxaca",1,,-98.1405049,17.5047564
OAX,San Martin del Estado,Silacayoapam,San Martin del Estado,"San Martin del Estado, Silacayoapam, Oaxaca",2,,-98.1405049,17.5047564
OAX,Santiago Asuncion,Silacayoapam,Santiago Asuncion,"Santiago Asuncion, Silacayoapam, Oaxaca",10,,-98.1405049,17.5047564
OAX,San Martin del Rio,Tezoatlan de Segura y Luna,San Martin del Rio,"San Martin del Rio, Tezoatlan de Segura y Luna, Oaxaca",2,,-97.8094397,17.6526298
OAX,,Villa Sola de Vega,,"Villa Sola de Vega, Oaxaca",1,"Non-indigenous, Zapotec",-96.9794689,16.5116214
OAX,,Yogana,,"Yogana, Oaxaca",3,Non-indigenous,-96.7857356,16.4585894
PUE,,Tlahuapan,,"Tlahuapan, Puebla",3,Non-indigenous,-97.9166671,20.0833329
VER,Citlaltepec,Citlaltepetl,Citlaltepec,"Citlaltepec, Citlaltepetl, Veracruz",1,Aztec,-97.8783886,21.3366489
