[ 'Town',
  'Count',
  '',
  'Notes',
  'Municipality',
  'Longitude',
  'State',
  'Place',
  'Latitude' ]
"Town","Count","","Notes","Municipality","Longitude","State","Place","Latitude"
"Meson de Guadalupe","1",null,"","San Juan Mixtepec - Distrito 08",17.3599967,"OAX","Meson de Guadalupe, San Juan Mixtepec - Distrito 08, Oaxaca",-97.8327159
"San Juan Cahuayaxi","1",null,"","San Juan Mixtepec - Distrito 08",-31.5272732,"OAX","San Juan Cahuayaxi, San Juan Mixtepec Dto 08, Oaxaca",-68.5214081
"Santiago Tiño","1",null,"","San Juan Mixtepec - Distrito 08",-33.4691199,"OAX","Santiago Tiño, San Juan Mixtepec Dto 08, Oaxaca",-70.641997
"","1",null,"","San Juan Ñumi",17.3977716,"OAX","San Juan Ñumi, Oaxaca",-97.7051877
"","204",null,"","San Martin Peras",17.35,"OAX","San Martin Peras, Oaxaca",-98.233333
"Ahuajatla","14",null,"","San Martin Peras",17.35,"OAX","Ahuajutla, San Martin Peras, Oaxaca",-98.233333
"Barrio del Carmen","1",null,"","San Martin Peras",43.4455758,"OAX","Barrio del Carmen, San Martin Peras, Oaxaca",-3.845047
"Chiñon","13",null,"","San Martin Peras",17.35,"OAX","Chiñon, San Martin Peras, Oaxaca",-98.233333
"El Paredon","5",null,"","San Martin Peras",17.35,"OAX","El Paredon, San Martin Peras, Oaxaca",-98.233333
"Guadalupe","1",null,"","San Martin Peras",17.35,"OAX","Guadalupe, San Martin Peras, Oaxaca",-98.233333
"La Escopeta","2",null,"","San Martin Peras",17.35,"OAX","La Escopeta, San Martin Peras, Oaxaca",-98.233333
"La Trinidad Peras","1",null,"","San Martin Peras",17.35,"OAX","La Trinidad Peras, San Martin Peras, Oaxaca",-98.233333
"Las Huertas","1",null,"","San Martin Peras",17.35,"OAX","Las Huertas, San Martin Peras, Oaxaca",-98.233333
"Las Minas","5",null,"","San Martin Peras",17.35,"OAX","Las Minas, San Martin Peras, Oaxaca",-98.233333
"Piedra Azul","5",null,"","San Martin Peras",17.35,"OAX","Piedra Azul, San Martin Peras, Oaxaca",-98.233333
"San Isidro La Raya","7",null,"","San Martin Peras",17.35,"OAX","San Isidro La Raya, San Martin Peras, Oaxaca",-98.233333
"San Juan del Rio","4",null,"","San Martin Peras",20.3810837,"OAX","San Juan del Rio, San Martin Peras, Oaxaca",-99.94141619999999
"San Marcos","2",null,"","San Martin Peras",17.35,"OAX","San Marcos, San Martin Peras, Oaxaca",-98.233333
"San Miguel Peras","10",null,"","San Martin Peras",17.35,"OAX","San Miguel Peras, San Martin Peras, Oaxaca",-98.233333
"Santiago Petlacala","10",null,"","San Martin Peras",17.35,"OAX","Santiago Petlacala, San Martin Peras, Oaxaca",-98.233333
"","1",null,"","San Mateo Cajonos",17.1598614,"OAX","San Mateo Cajonos, Oaxaca",-96.20731060000001
"","1",null,"","San Miguel Chicahua",17.6376102,"OAX","San Miguel Chicahua, Oaxaca",-97.19369859999999
"San Martin Sabinillo","1",null,"","San Miguel Tlacotepec",17.45,"OAX","San Martin Sabinillo, San Miguel Tlacotepec, Oaxaca",-98
"","1",null,"","San Pedro Mixtepec",16.2707185,"OAX","San Pedro Mixtepec, Oaxaca",-96.2850484
"","1",null,"Non-indigenous, Zapotec","San Pedro Pochutla",15.7489259,"OAX","San Pedro Pochutla, Oaxaca",-96.4672856
"La Soledad Salinas","1",null,"","San Pedro Quiatoni",16.7826999,"OAX","La Soledad Salinas, San Pedro Quiatoni, Oaxaca",-96.03086069999999
"","2",null,"","San Sebastian Tecomaxtlahuaca",17.35,"OAX","San Sebastian Tecomaxtlahuaca, Oaxaca",-98.033333
"Cañada de Lobo","4",null,"","San Sebastian Tecomaxtlahuaca",17.35,"OAX","Cañada de Lobo, San Sebastian Tecomaxtlahuaca, Oaxaca",-98.033333
"Guadalupe Nundaco","5",null,"","San Sebastian Tecomaxtlahuaca",17.35,"OAX","Guadalupe Nundaco, San Sebastian Tecomaxtlahuaca, Oaxaca",-98.033333
"Rio de Hielo","2",null,"","San Sebastian Tecomaxtlahuaca",17.35,"OAX","Rio de Hielo, San Sebastian Tecomaxtlahuaca, Oaxaca",-98.033333
