Town	Count		Notes	Municipality	Longitude	State	Place	Latitude
San Martin Sabinillo	1	None		San Miguel Tlacotepec	17.45	OAX	San Martin Sabinillo, San Miguel Tlacotepec, Oaxaca	-98
	1	None		San Pedro Mixtepec	16.2707185	OAX	San Pedro Mixtepec, Oaxaca	-96.2850484
	1	None	Non-indigenous, Zapotec	San Pedro Pochutla	15.7489259	OAX	San Pedro Pochutla, Oaxaca	-96.4672856
La Soledad Salinas	1	None		San Pedro Quiatoni	16.7826999	OAX	La Soledad Salinas, San Pedro Quiatoni, Oaxaca	-96.0308607
	2	None		San Sebastian Tecomaxtlahuaca	17.35	OAX	San Sebastian Tecomaxtlahuaca, Oaxaca	-98.033333
Cañada de Lobo	4	None		San Sebastian Tecomaxtlahuaca	17.35	OAX	Cañada de Lobo, San Sebastian Tecomaxtlahuaca, Oaxaca	-98.033333
Guadalupe Nundaco	5	None		San Sebastian Tecomaxtlahuaca	17.35	OAX	Guadalupe Nundaco, San Sebastian Tecomaxtlahuaca, Oaxaca	-98.033333
Rio de Hielo	2	None		San Sebastian Tecomaxtlahuaca	17.35	OAX	Rio de Hielo, San Sebastian Tecomaxtlahuaca, Oaxaca	-98.033333
San Martin Duraznos	51	None		San Sebastian Tecomaxtlahuaca	17.35	OAX	San Martin Duraznos, San Sebastian Tecomaxtlahuaca, Oaxaca	-98.033333
San Mateo Tunuchi	1	None		San Sebastian Tecomaxtlahuaca	17.35	OAX	San Mateo Tunuchi, San Sebastian Tecomaxtlahuaca, Oaxaca	-98.033333
	1	None	Zapotec	San Vicente Coatlan	16.383333	OAX	San Vicente Coatlan, Oaxaca	-96.85
	2	None	Zapotec	Santa Ana Yareni	17.3968099	OAX	Santa Ana Yareni, Oaxaca	-96.6085921
	1	None	Zapotec	Santa Catarina Quioquitani	16.3145975	OAX	Santa Catarina Quioquitani	-96.2843862
	1	None	Zapotec	Santa Cruz Xitla	16.3215262	OAX	Santa Cruz Xitla, Oaxaca	-96.6736876
San Francisco Cozoaltepec	1	None	Non-indigenous, Zapotec	Santa Maria Tonameca	15.7467124	OAX	San Francisco Cozoaltepec, Santa Maria Tonameca, Oaxaca	-96.5462836
Rio Mijangos	1	None	Non-indigenous	Santa Maria Zoquitlan	16.5597026	OAX	Río Míjangos, Santa Maria Zoquitlan, Oaxaca	-96.3539893
	11	None		Santiago Juxtlahuaca	17.3338551	OAX	Santiago Juxtlahuaca, Oaxaca	-98.0106756
La Sabana	1	None	Triqui	Santiago Juxtlahuaca	17.3338551	OAX	La Sabana, Santiago Juxtlahuaca, Oaxaca	-98.0106756
San Juan Piñas	1	None		Santiago Juxtlahuaca	17.3338551	OAX	San Juan Piñas, Santiago Juxtlahuaca, Oaxaca	-98.0106756
Santa Maria Yucunicoco	7	None		Santiago Juxtlahuaca	UNKNOWN	OAX	Santa Maria Yucunicoco, Santiago Juxtlhuaca, Oaxaca	UNKNOWN
Santiago Naranjos	9	None		Santiago Juxtlahuaca	17.3338551	OAX	Santiago Naranjos, Santiago Juxtlahuaca, Oaxaca	-98.0106756
Santos Reyes Zochiquilazola	1	None		Santiago Juxtlahuaca	UNKNOWN	OAX	Santos Reyes Zochiquilazola, Santiago Juxtlhuaca, Oaxaca	UNKNOWN
Union de Cardenas	12	None		Santiago Juxtlahuaca	17.3338551	OAX	Union de Cardenas, Santiago Juxtlahuaca, Oaxaca	-98.0106756
	1	None		Santiago Pinotepa Nacional	16.3411824	OAX	Santiago Pinotepa Nacional, Oaxaca	-98.053687
Yolotepec de la Paz	2	None		Santiago Yosondua	16.883333	OAX	Yolotepec de la Paz, Santiago Yosondua, Oaxaca	-97.566667
